config,packets,mpps,gbps,ns_per_pkt,size,burst
copy,7812500,27.838,57.013,35.9,256,32
zerocopy,7812500,26.177,53.611,38.2,256,32
copy,1953125,9.552,78.253,104.7,1024,32
zerocopy,1953125,22.821,186.947,43.8,1024,32
copy,488281,2.478,81.214,403.5,4096,32
zerocopy,488281,11.125,364.535,89.9,4096,32
copy,122070,0.749,98.123,1335.8,16384,32
zerocopy,122070,9.487,1243.447,105.4,16384,32
copy,30769,0.182,94.517,5501.7,65000,32
zerocopy,30769,6.709,3488.723,149.1,65000,32
