config,packets,mpps,gbps,ns_per_pkt,size,burst
batching,10000000,14.287,29.260,70.0,256,1
batching,10000000,23.983,49.116,41.7,256,2
batching,10000000,24.764,50.718,40.4,256,4
batching,10000000,27.501,56.322,36.4,256,8
batching,10000000,27.342,55.995,36.6,256,16
batching,10000000,27.356,56.026,36.6,256,32
batching,10000000,28.723,58.824,34.8,256,64
