config,packets,mpps,gbps,ns_per_pkt,size,burst
kernel-udp,10000000,0.379,0.776,0.0,256,1
naive,10000000,1.485,3.042,673.3,256,1
+mempool,10000000,2.705,5.540,369.7,256,1
+lockless-ring,10000000,14.839,30.389,67.4,256,1
+batching-x32,10000000,27.395,56.105,36.5,256,32
page-4k,10000000,22.984,47.071,43.5,256,32
page-2m,10000000,27.042,55.381,37.0,256,32
